8 57 46 902031 -1 44969
8 57 46 951324 -1 45019
8 57 47 4366 -1 45069
8 57 47 53810 -1 45119
8 57 47 102742 -1 45169
8 57 47 151987 -1 45219
8 57 47 205126 -1 45270
8 57 47 254438 -1 45320
8 57 47 303445 -1 45370
8 57 47 352675 -1 45420
8 57 47 405810 -1 45470
8 57 47 455166 -1 45520
8 57 47 504299 -1 45570
8 57 47 553433 -1 45620
8 57 47 602506 -1 45670
8 57 47 655660 -1 45720
8 57 47 704882 -1 45770
8 57 47 754218 -1 45820
8 57 47 803337 -1 45870
8 57 47 852515 -1 45920
8 57 47 905443 -1 45970
8 57 47 955088 -1 46020
8 57 48 3674 -1 46070
8 57 48 56975 -1 46120
8 57 48 106127 -1 46170
8 57 48 155537 -1 46220
8 57 48 204628 -1 46270
8 57 48 253807 -1 46320
8 57 48 306979 -1 46370
8 57 48 356097 -1 46420
8 57 48 405334 -1 46470
8 57 48 454477 -1 46520
8 57 48 503660 -1 46570
8 57 48 556876 -1 46620
8 57 48 606100 -1 46670
8 57 48 655403 -1 46720
8 57 48 704381 -1 46770
8 57 48 754681 -1 46820
8 57 48 806243 -1 46870
8 57 48 855970 -1 46920
8 57 48 905042 -1 46970
8 57 48 954277 -1 47020
8 57 49 3450 -1 47070
8 57 49 56802 -1 47120
8 57 49 105773 -1 47170
8 57 49 154983 -1 47220
8 57 49 203932 -1 47270
8 57 49 253277 -1 47320
8 57 49 306478 -1 47370
8 57 49 355635 -1 47420
8 57 49 404783 -1 47470
8 57 49 457843 -1 47520
8 57 49 507264 -1 47570
8 57 49 556510 -1 47620
8 57 49 605577 -1 47670
8 57 49 654751 -1 47720
8 57 49 707966 -1 47770
8 57 49 757275 -1 47820
8 57 49 806034 -1 47870
8 57 49 855430 -1 47920
8 57 49 904559 -1 47970
8 57 49 957789 -1 48020
8 57 50 6973 -1 48070
8 57 50 56314 -1 48120
8 57 50 105254 -1 48171
8 57 50 158025 -1 48221
8 57 50 207698 -1 48271
8 57 50 256801 -1 48321
8 57 50 306038 -1 48371
8 57 50 359236 -1 48421
8 57 50 408269 -1 48471
8 57 50 457236 -1 48521
8 57 50 506666 -1 48571
8 57 50 555882 -1 48621
8 57 50 609062 -1 48671
8 57 50 658508 -1 48721
8 57 50 710689 -1 48771
8 57 50 756847 -1 48821
8 57 50 809622 -1 48871
8 57 50 859000 1 48921
8 57 50 907841 1 48971
8 57 50 957436 1 49021
8 57 51 6366 1 49071
8 57 51 59476 1 49121
8 57 51 108610 1 49171
8 57 51 157938 1 49221
8 57 51 207154 1 49271
8 57 51 260329 1 49321
8 57 51 309142 1 49371
